token	normalised
chascun	chascun
iour	jour
ne	ne
me	me
uueille	vueille
greuer	grever
ma	ma
douce	douce
dame	dame
et	et
pour	pour
moi	moi
esprouuer	esprouver
pour	pour
qui	qui
iai	Kai
si	si
toute	toute
autre	autre
amour	amour
perdue	perdue
si	si
que	que
ie	je
nai	nai
de	de
quoi	quoi
autrui	autrui
amer	amer
ne	ne
seruir	seruir
ne	ne
desseruir	desseruir
ne	ne
puis	puis
par	par
mal	mal
soufrir	soufrir
	
que	que
la	la
painne	painne
uueille	vueille
guerredouner	guerredouner
	
que	que
iai	Kai
pour	pour
li	li
eue	eve
ne	ne
sai	sai
se	se
merci	merci
trouuer	trouver
	
porrai	porrai
en	en
son	son
cuer	cuer
auer	aver
Nenil	nenil
certes	certes
ainz	ainz
miert	miert
chiere	chiere
uẽdue	vendue
maiz	maiz
ne	ne
la	la
puis	puis
sanz	sanz
morir	morir
achater	achater
ioie	joie
eu	eu
de	de
li	li
si	si
la	la
ma	ma
retolue	retolve
rienz	rienz
ni	ni
amis	amis
quele	quele
nen	nen
uueille	vueille
oster	oster
fors	fors
uolente	volente
quele	quele
nen	nen
puet	puet
ieter	jeter
dont	dont
lamours	lamours
est	est
en	en
monciier	monciler
descendue	descendue
	
quel	quel
ma	ma
leissie	leissie
pour	pour
son	son
cors	cors
desirrer	desirrer
qua	qua
son	son
si	si
desir	desir
qua	qua
son	son
plaisir	plaisir
puisse	puisse
de	de
li	li
ioir	joira
quar	quar
autremẽ	autremen
ne	ne
la	la
quier	quier
enganer	enganer
si	si
men	men
soit	soit
ioie	joie
rendue	rendue
et	et
puisse	puisse
amours	amours
recourer	recovrer
ꝯ	com
ie	je
di	di
uoir	voir
sanz	sanz
fausser	fausser
Onques	Onques
mais	mais
cuers	cuers
ne	ne
uoloirs	voloirs
pensee	pensee
	
enuers	envers
dame	dame
si	si
bien	bien
ne	ne
se	se
proua	prova
maiz	maiz
ie	je
ne	ne
sai	sai
conment	conment
pui	pui
se	se
estre	estre
amee	amee
	
cele	cele
dautrui	dautrui
qui	qui
son	son
cuer	cuer
namera	namera
de	de
cel	cel
cuer	cuer
laim	laim
qui	qui
pour	pour
li	li
me	me
laissa	laissa
et	et
nonpourquant	nonpourquant
ainc	ainc
ni	ni
ot	ot
desseuree	dessevree
quentierement	quentierement
auec	avec
li	li
me	me
douna	douna
par	par
mon	mon
gre	gre
sor	sor
ma	ma
greue	greve
	
cest	cest
par	par
ma	ma
uolente	volente
ia	ja
ma	ma
dame	dame
reprochie	reprochie
ne	ne
sera	sera
et	et
sen	sen
iert	iert
espoir	espoir
blasmee	blasmee
maiz	maiz
nului	nului
nẽ	nen
pesera	pesera
	
tant	tant
ꝯ	com
moi	moi
quant	quant
ce	ce
sera	sera
Chancon	chancon
di	di
li	li
que	que
mal	mal
ui	vi
assamblee	assamblee
	
tante	tante
biaute	biaute
tante	tante
biaute	biaute
ꝯele	comele
me	me
moustra	moustra
en	en
sa	sa
face	face
fresche	fresche
et	et
encoulouree	encoulouree
donc	donc
li	li
orguẹus	orgveous
en	en
son	son
cuer	cuer
auala	avala
qui	qui
son	son
ami	ami
ocirre	ocirre
li	li
fera	fera
samours	samours
li	li
laist	laist
auoir	avoir
longue	longue
duree	duree
quar	quar
cest	cest
la	la
rienz	rienz
en	en
cest	cest
mont	mont
qui	qui
pluz	pluz
a	a
	
tost	tost
sane	sane
home	home
naure	navre
de	de
si	si
douce	douce
enferte	enferte
	
ꝯme	comme
ie	je
sui	sui
bien	bien
ait	ait
qin	qun
me	me
naura	navra
tost	tost
men	men
iert	iert
guerredounee	guerredounee
la	la
painne	painne
quant	quant
li	li
plaira	plarra
	
et	et
pitiez	pitiez
len	len
prendera	prendera
Quennes	quennes
en	en
blondel	blondel
est	est
nee	nee
lamour	lamour
qui	qui
ia	ja
ne	ne
faudra	faudra
	
tant	tant
de	de
mal	mal
ne	ne
li	li
fera	fera
